title,total_revenue
Reno 911! Miami,20313720
The Unbearable Weight of Massive Talent,20306623
Pulse,20264436
Our Family Wedding,20225614
Down with Love,20221765
Country Strong,20218921
Appaloosa,20211394
Baahubali 2: The Conclusion,20186659
Secret in Their Eyes,20180155
The Last Mimzy,20174000
Homefront,20158898
Big Miracle,20157300
UglyDolls,20150241
Jonah: A VeggieTales Movie,20120013
Premium Rush,20119395
NASCAR: The IMAX Experience,20075293
Gone Baby Gone,20059000
Middle School: The Worst Years of My Life,20007149
Devotion,19980777
Thirteen Days,19876120
Spy Kids,19859284
Prey for the Devil,19833530
Space Jam: A New Legacy,19820000
The Spirit,19806188
Yu-Gi-Oh!: The Movie - Pyramid of Light,19762690
Broken City,19701164
Nine Lives,19700032
The Life of David Gale,19694730
Nine,19670243
Reign Over Me,19607628
Astro Boy,19551067
Igor,19528602
Beautiful Creatures,19507973
The Eagle,19490041
Unhinged,19488900
Timeline,19481943
The Invisible,19410621
The Producers,19398532
Shaun the Sheep Movie,19375982
Runner Runner,19316646
My Best Friend's Girl,19219250
Beerfest,19185184
Martin Lawrence Live: Runteldat,19184800
Cabin Fever,19179689
Bridget Jones's Diary,19135731
Race,19115191
"I, Frankenstein",19075290
Moonfall,19073481
Remember Me,19068240
Waitress,19042372
The Impossible,19019882
Unplanned,19005109
Two Brothers,18999515
Man of the House,18997853
Haywire,18942396
Georgia Rule,18920455
Shark Night 3D,18877153
Vacancy,18873847
The Legend of Hercules,18848538
Akeelah and the Bee,18848430
The Marine,18798802
Oceans,18735398
The Choice,18730891
Eye in the Sky,18704595
Jonas Brothers: The 3D Concert Experience,18662132
Frost/Nixon,18622031
Man on a Ledge,18620000
Chips,18600152
Aquamarine,18568348
Ultraviolet,18500966
You're Next,18494006
Super Troopers,18492362
Into the Blue,18472363
The Invention of Lying,18451251
A Thousand Words,18450127
Quartet,18400286
Into the Wild,18354356
Only the Brave,18343983
North Country,18337722
Walk Hard: The Dewey Cox Story,18317151
The Four Feathers,18306166
Paranormal Activity: The Ghost Dimension,18300124
127 Hours,18292814
The Last Castle,18244060
The Chosen Season 3: Episode 1 & 2,18204430
Capote,18135126
Chernobyl Diaries,18119640
Tuck Everlasting,18056858
Next,18049868
Cursed,18020000
Admission,18007317
They Shall Not Grow Old,17956913
The Contender,17872723
Assault on Precinct 13,17871130
School for Scoundrels,17807569
Going the Distance,17804299
Mother!,17800004
Bad Times at the El Royale,17790429
Bad Santa 2,17782178
The Secret World of Arrietty,17777936
Paws of Fury: The Legend of Hank,17777191
Steve Jobs,17766658
Van Wilder: Party Liaison,17762000
EuroTrip,17749849
Show Dogs,17744685
The Perks of Being a Wallflower,17742948
Mr. Holmes,17737635
Punch-Drunk Love,17708311
The Farewell,17695781
Apollo 18,17687709
Valiant,17676829
Kit Kittredge: An American Girl,17657973
Nebraska,17654912
Fright Night,17634455
Furry Vengeance,17630465
Parker,17616641
Operation Finale,17612099
Hostel: Part II,17609452
Along Came a Spider,17597870
The Last King of Scotland,17584817
"Paul, Apostle of Christ",17560475
Spirit Untamed,17557845
Silent Hill: Revelation,17533300
Empire,17528560
A Mighty Wind,17521077
Enough Said,17517110
Dope,17506570
Father Figures,17501244
Notes on a Scandal,17493725
Sorry to Bother You,17493096
The Zookeeper's Wife,17445186
The Ruins,17432844
Dark Skies,17418667
Chappaquiddick,17395520
Addicted,17390770
Masterminds,17368022
The Upside of Anger,17365000
Free Solo,17345158
A Haunted House 2,17329486
Licorice Pizza,17307957
Becoming Jane,17306974
Just My Luck,17303661
Inkheart,17303424
Brightburn,17300439
Underwater,17291078
Wanderlust,17288155
The Glass Castle,17273059
Eight Legged Freaks,17272021
Small Time Crooks,17265238
Roll Bounce,17242963
A Most Wanted Man,17237388
Pooh's Heffalump Movie,17229670
Laws of Attraction,17225000
Seventh Son,17223265
Fired Up!,17187053
Eastern Promises,17181265
The Good Liar,17156058
Safe,17142080
The Fabelmans,17129386
Norm of the North,17062499
Bears,17047651
The Devil's Rejects,17044981
Splice2010 Re-release,17010170
Win a Date with Tad Hamilton!,16973346
The Counselor,16946319
Resident Evil: Welcome to Raccoon City,16940573
88 Minutes,16930884
Serving Sara,16930185
The Thing,16928670
Deliver Us from Eva,16892083
Flatliners,16883115
Wimbledon,16862585
Rebound,16793486
The Kid Who Would Be King,16790790
Detroit,16790139
New in Town,16734283
Bowling for Columbine,16717647
Catch That Kid,16679623
Unaccompanied Minors,16655224
Missing Link,16649539
Annapolis,16613087
Dead Silence,16574590
Mary Queen of Scots,16468499
The Green Knight,16452414
Hart's War,16401660
Forever My Girl,16376066
White Oleander,16357770
The Whole Ten Yards,16323969
The Perfect Man,16317820
Young Adult,16311571
Elizabeth: The Golden Age,16285240
The Master,16258724
The Way Back,16249457
Wolf Creek,16188180
Jennifer's Body,16186947
Begin Again,16170632
Jobs,16131407
Waiting...,16124543
Imagine That,16123323
The French Dispatch,16116135
Fruitvale Station,16101339
Adventureland,16044025
Kung Pow: Enter the Fist,16036962
The Transporter Refueled,16029670
The Raven,16008272
Son of the Mask,16005440
My Baby's Daddy,15983488
The Single Moms Club,15973881
Mortal Engines,15951040
Swordfish,15938829
Blow,15923207
Marie Antoinette,15916194
Armored,15914384
The Hitcher,15904000
Harold & Kumar Go to White Castle,15820000
The Birth of a Nation,15803772
The Kite Runner,15800078
The Ninth Gate,15793016
Devil's Due,15785335
Hunter Killer,15767460
Pride and Glory,15740721
Eddie the Eagle,15739131
An American Haunting,15700568
Monkey Kingdom,15699527
Paparazzi,15692308
Larry the Cable Guy: Health Inspector,15680099
Criminal,15637929
The Man with the Iron Fists,15634090
Happily N'Ever After,15589393
The Marksman,15575508
Swing Vote,15555204
The Gospel,15551325
The Ghost Writer,15541549
In America,15518515
A Perfect Getaway,15515460
Late Night,15491855
The Turning,15472765
A Guy Thing,15452412
View from the Top,15440317
The Infiltrator,15431420
Gretel & Hansel,15347654
Babylon,15339753
About Time,15322921
Bangkok Dangerous,15298133
The Unholy,15277879
Youth in Revolt,15275308
Catch and Release,15269668
Half Past Dead,15262696
Alpha Dog,15242450
Vanity Fair,15225761
The Last Exorcism 2,15179302
And So It Goes,15160801
Arthur and the Invisibles,15132763
"The Goods: Live Hard, Sell Hard",15122676
Atlantis: The Lost Empire,15075599
The Invasion,15074191
Kung Fu Hustle,15063000
The Box,15051977
See No Evil,15032800
Seven Psychopaths,15024049
My Boss's Daughter,15018078
Judy Moody and the Not Bummer Summer,15013650
Miss Bala,15006824
Lions for Lambs,15000115
Titanic25 Year Anniversary,14965756
The Country Bears,14956662
Killing Them Softly,14947716
If Beale Street Could Talk,14915773
Step Up All In,14904386
Amsterdam,14904110
Seed of Chucky,14902000
Magnolia,14891599
Last Chance Harvey,14889042
Solaris,14887875
The Cave,14884003
Keeping Up with the Joneses,14871832
The Prodigy,14856291
The Greatest Game Ever Played,14841629
The Girl in the Spider's Web,14841338
The Possession of Hannah Grace,14837422
The Whale,14819401
Wonder Boys,14791315
"I Love You, Beth Cooper",14752368
My Soul to Take,14744435
Tristan & Isolde,14711400
Rat Race,14692161
The Case for Christ,14682684
Man on the Moon,14682505
It Follows,14674076
Confessions of a Dangerous Mind,14630741
Beyond the Lights,14618727
My Week with Marilyn,14600347
The 355,14574420
The Girl Next Door,14553853
Everyone's Hero,14516662
Loser,14500485
Big Eyes,14482031
Ponyo,14468251
Stillwater,14447850
"Hello, My Name Is Doris",14444999
America: Imagine the World Without Her,14444502
Life or Something Like It,14443273
American Ultra,14440985
Welcome to Mooseport,14436953
The Edge of Seventeen,14431633
The Nightmare Before Christmas2008 3D Release,14412960
Woodlawn,14394097
Awake,14374840
Wrong Turn,14372046
Capitalism: A Love Story,14363397
Dear Evan Hansen,14335726
Lockout,14326864
Snow Falling on Cedars,14316301
A Knight's Tale,14273811
Josie and the Pussycats,14271015
Ballistic: Ecks vs. Sever,14263451
Amelia,14246488
Alex & Emma,14218698
Disaster Movie,14190901
The Suicide Squad,14150000
Hollywoodland,14101000
The Emperor's Club,14072080
How to Deal,14052000
New York Minute,14045006
Wish Upon,14020803
Left Behind,14019924
The Good Girl,14018096
Love & Friendship,14016568
Soul Plane,13957242
Stealing Harvard,13946508
Hot Rod,13938332
Belle,13926305
It Comes at Night,13878749
Jackie,13874724
Born in China,13873211
Cirque du Freak: The Vampire's Assistant,13869515
The Duchess,13848978
One Day,13843771
Firehouse Dog,13834840
Monster Hunter,13807913
Repo Men,13794835
Frank Miller's Sin City: A Dame to Kill For,13757804
Letters from Iwo Jima,13756082
Hit and Run,13746550
Spring Breakers,13708497
Crank: High Voltage,13684249
Warrior,13657115
Burnt,13651946
My Hero Academia: Heroes Rising,13651826
Poms,13631124
Godsend,13607000
The Haunting of Molly Hartley,13559812
Eighth Grade,13539709
The Namesake,13535636
King Richard,13522236
What's Your Number?,13489714
Christmas with the Chosen: The Messengers,13470798
Out Cold,13423839
Dredd,13414714
African Cats,13412982
Megan Leavey,13406304
Alfie,13399812
Labor Day,13371528
De-Lovely,13350879
The Comebacks,13346103
The Next Best Thing,13290706
Chaos Walking,13284115
Case 39,13261851
Ghost Town,13252641
Inside Llewyn Davis,13235319
The Tree of Life,13228329
One Night with the King,13187405
Feardotcom,13157352
The Rum Diary,13109815
Playing for Keeps,13103272
Hillary's America: The Secret History of the Democratic Party,13099931
Flyboys,13090630
Hey Arnold! The Movie,13084810
Whip It,13025018
House of Sand and Fog,13024825
Easter Sunday,13019660
Daddy Day Camp,13017788
Religulous,13011160
Do You Believe?,12985600
Anna and the King,12982592
Envy,12968190
To the Arctic 3D,12947892
Wicker Park,12924439
Friends with Money,12901087
Gods and Generals,12882935
The Honeymooners,12843894
Shaun of the Dead,12833524
Anna Karenina,12816367
The Founder,12786053
Silent House,12754783
I Heart Huckabees,12752075
Beasts of the Southern Wild,12738066
The Pirates Who Don't Do Anything: A VeggieTales Movie,12727025
Carol,12711491
The Darkest Minds,12667793
The Hurt Locker,12646219
News of the World,12640710
Triple 9,12639297
Brahms: The Boy II,12611536
Winter's Tale,12600231
Battle of the Sexes,12598957
The Matador,12594698
Under the Same Moon,12590147
Idlewild,12571185
Love & Mercy,12559446
The Light Between Oceans,12545979
25th Hour,12532723
Dirty Dancing: Havana Nights,12527000
I Think I Love My Wife,12513596
Freedomland,12512886
Thomas and the Magic Railroad,12493053
The Weather Man,12482775
Shoot 'Em Up,12446000
Gosford Park,12430895
Cirque du Soleil: Worlds Away,12393487
Dangal,12391761
Hot Tub Time Machine 2,12314651
Miss Pettigrew Lives for a Day,12313694
The Animal,12304978
How to Eat Fried Worms,12295014
Demon Slayer: Mugen Train,12286511
Evening,12280000
Self/less,12279691
Fly Me to the Moon 3D,12264726
Three Identical Strangers,12255862
Before I Fall,12241122
The 33,12227722
Chasing Liberty,12195626
The Kitchen,12180032
Far from the Madding Crowd,12140679
After,12138565
Let Me In,12134935
Honest Thief,12127599
12 Rounds,12092888
Soul Men,12082391
Extraordinary Measures,12068313
Sunshine Cleaning,12062558
The Last Stand,12050299
The Protector,12044087
Sorority Row,11965282
Pathaan,11964194
"Roman J. Israel, Esq.",11962778
Strange Magic,11937516
Blinded by the Light,11901145
Upgrade,11871365
The Darjeeling Limited,11841549
Glee: The 3D Concert Movie,11839236
House of 1000 Corpses,11789700
Meet Dave,11765523
Sydney White,11730515
Fifty Shades of Black,11686940
Gone,11682205
Breakin' All the Rules,11674829
One Piece Film: Red,11660528
People Like Us,11649640
Rollerball,11646126
Dave Chappelle's Block Party,11642000
Bros,11636525
The Last Kiss,11614790
Confidence,11558000
The Conspirator,11538180
No manches Frida,11528613
The Longshots,11511323
The Words,11494838
Material Girls,11449638
The Powerpuff Girls Movie,11412714
Nightmare Alley,11372535
Unforgettable,11368012
Zoom,11339364
Out of the Furnace,11330849
Jane Eyre,11242660
Surviving Christmas,11217186
Bobby,11205901
The Old Man & the Gun,11156394
Dark Waters,11136084
The Danish Girl,11114018
Casanova,11113242
RRR,11113000
Hell Fest,11107431
Café Society,11103205
In the Land of Women,11052958
21 Grams,11044393
Mrs. Henderson Presents,11036366
The Quiet American,11014244
Doomsday,11008770
Lords of Dogtown,11008432
The Astronaut Farmer,11003643
Pride and Prejudice and Zombies,10938134
Brotherhood of the Wolf,10932641
Stop-Loss,10915744
The Polar Express2005 IMAX Release,10900597
Dead Man Down,10895295
The Lighthouse,10849108
Be Kind Rewind,10830792
Highlander: Endgame,10824685
Extract,10823158
They,10788000
Jason X,10772000
Welcome to Marwen,10763520
The Darkness,10753574
Avatar2010 Special Edition,10741486
Abandon,10727683
Drive Angry,10721033
Frida,10720000
Juwanna Mann,10691552
The Drop,10680693
The Gunman,10664749
Nocturnal Animals,10663357
Something New,10617374
PK,10616104
Antlers,10612358
The Motorcycle Diaries,10581097
The Beguiled,10576669
Not Easily Broken,10572742
Jonah Hex,10547117
Greta,10519425
Sabotage,10508518
Getaway,10501938
Dragon Wars: D-War,10485000
Impractical Jokers: The Movie,10466091
Narc,10465659
The Banshees of Inisherin,10460758
Bodies Bodies Bodies,10456317
The Last Duel,10426361
Head Over Heels,10424470
Moms' Night Out,10400905
The Perfect Score,10391003
Live by Night,10378555
Island of Lemurs: Madagascar,10370683
Come Play,10359245
Mrs Harris Goes to Paris,10339050
Pandorum,10330853
Straw Dogs,10324441
The Boondock Saints II: All Saints Day,10273188
Whiteout,10272950
Kinsey,10254979
Knockaround Guys,10237000
The Miracle Season,10230620
In the Mix,10223896
The Best of Enemies,10205616
Unfinished Business,10204358
The Intouchables,10198820
End of the Spear,10198000
Primeval,10189120
The Belko Experiment,10166820
Win Win,10150899
The Fountain,10144010
Hoodwinked Too! Hood vs. Evil,10143779
Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806
RBG,10116762
Last Night in Soho,10112860
Emma.,10055355
Shopgirl,10052081
Marshall,10051659
Next Day Air,10027047
Bloodshot,10021787
Bratz,10010209
Penelope,10006295
Padmaavat,9940403
The Walk,9878767
Pathfinder,9874667
I Still Believe,9868521
Raise Your Voice,9835000
Sorority Boys,9803205
Blue Valentine,9706328
X,9688989
The Perfect Match,9669521
I Don't Know How She Does It,9662284
The Emperor's New Groove,9658847
Hotel Mumbai,9651611
The Express,9643725
The Young Victoria,9617660
Midnight Sun,9561064
See How They Run,9559914
Firestarter,9554195
Fair Game,9540691
Blacklight,9514981
Smart People,9511289
Rendition,9505000
Thank You for Your Service,9499488
Popstar: Never Stop Never Stopping,9496130
Bullet to the Head,9489829
Domino,9461000
Away We Go,9451946
Scoop,9443000
The Visitor,9427088
Rock Dog,9420546
Here on Earth,9414151
Once,9414148
Fun Size,9409538
Glass Onion: A Knives Out Mystery,9400000
Spirited Away,9399230
Black Snake Moan,9396870
Death Sentence,9384327
Let Him Go,9333765
Dragonball Evolution,9326925
Spider-Man: No Way Home2022 Re-release,9277808
Motherless Brooklyn,9277736
No Manches Frida 2,9270920
Undisputed,9258916
Hardcore Henry,9252038
A Serious Man,9228768
Tully,9227130
Broken Flowers,9218072
Redeeming Love,9212365
Everybody's Fine,9208876
"Where'd You Go, Bernadette",9198356
Traffik,9186156
Peeples,9177065
A Mighty Heart,9176787
A Single Man,9152334
Dark Blue,9145341
Baby Boy,9133036
Meet the Blacks,9097072
Huevos: Little Rooster's Egg-cellent Adventure,9080818
Ready to Rumble,9080753
The Divorce,9062159
Salmon Fishing in the Yemen,9047981
The Boy in the Striped Pajamas,9046156
Apollo 11,9039891
First Daughter,9038447
Pearl,9035149
Transamerica,9015303
Sleepover,9014307
Superbabies: Baby Geniuses 2,9007869
Freaky,8996070
Prom,8989380
Cry Wolf,8982000
Till,8928655
Belfast,8906405
The Promise,8893913
Queen of Katwe,8874389
House Party,8849943
Movie 43,8840453
Battle of the Year,8836048
Ratchet & Clank,8821329
The Ice Harvest,8818984
Saved!,8813886
House of the Dead,8812000
Unfriended: Dark Web,8783985
The Seeker: The Dark Is Rising,8777111
Suspect Zero,8725813
Street Fighter: The Legend of Chun-Li,8702482
The Lobster2016 Re-release,8688080
My Life in Ruins,8595389
The Lost City of Z,8580119
Terrifier 2,8554780
Bicentennial Man,8530843
MacGruber,8525600
The Quiet Ones,8509867
Pride,8504234
The Cookout,8490894
Star Wars: Episode II - Attack of the Clones2002 IMAX Release,8485488
Legends of Oz: Dorothy's Return,8462347
La Vie En Rose,8434706
Sex Drive,8402485
Frailty,8380000
Death to Smoochy,8364691
Can You Ever Forgive Me?,8326269
Duplex,8324038
Mandela: Long Walk to Freedom,8323085
Boat Trip,8318600
Johnny English Reborn,8305970
Downhill,8287061
S1m0ne,8276275
Early Man,8267544
The Nightmare Before Christmas2006 3D Release,8203087
The Road,8201246
Cadillac Records,8195551
Delta Farce,8130530
Inherent Vice,8110975
A Cure for Wellness,8077739
Bella,8066998
Connie and Carla,8063415
The Painted Veil,8060487
Punisher: War Zone,8050977
Three Thousand Years of Longing,8048183
Mad Hot Ballroom,8046103
Dhoom 3,8031955
Pirate Radio,8017917
Dragon Ball Z: Resurrection F,8008363
Machete Kills,8008161
The Wild Life,8005586
My Hero Academia: World Heroes' Mission,7990688
Brahmastra Part One: Shiva,7982012
The Death of Stalin,7969810
Arbitrage,7919574
Sanju,7909317
In the Bedroom,7908051
Blackhat,7889395
The Space Between Us,7885294
Trumbo,7857741
Bernie,7855396
Tenacious D in the Pick of Destiny,7851000
The Great Raid,7820185
City of Ember,7815784
Bones and All,7803235
Slither,7802450
In Bruges,7800825
Weathering with You,7799053
Vampire Academy,7791979
Bad Words,7779614
Anna,7748082
Unsane,7732899
Beautiful Boy,7723093
In the Heights,7720000
Tupac: Resurrection,7718961
The Collector,7712114
Loving,7710234
The New World2005 Re-release,7702501
Penguins,7699452
Kevin Hart: Laugh at My Pain,7697703
Mortdecai,7696134
Elle s'appelait Sarah,7693187
The Night Listener,7687000
Super Size Me,7665541
Miracle at St. Anna,7658999
The Return,7653217
The Order,7647029
Promised Land,7597898
An Unfinished Life,7569000
El cantante,7556802
Hoot,7533000
The Curse of the Jade Scorpion,7517191
Nothing Like the Holidays,7503736
The Protege,7463268
Taking Woodstock,7460204
I'll See You in My Dreams,7449681
Cyrus,7442641
A Good Year,7438586
Doogal,7417319
Expelled: No Intelligence Allowed,7396988
Godzilla 2000,7396772
Paranoia,7388654
It Runs in the Family,7387378
Still Alice,7383000
The Condemned,7371706
Mid90s,7362439
Driven,7322307
Martian Child,7322000
Babies,7320323
Memory,7319538
Code Name: The Cleaner,7284038
Friends with Kids,7251073
Boyhood,7236952
Fall,7235161
Let There Be Light,7233491
Gold,7232577
Joe Dirt,7232282
Mulholland Drive,7220243
The Green Inferno,7192291
American Dreamz,7191830
Brittany Runs a Marathon,7189808
The Orphanage,7161284
I Know Who Killed Me,7150096
The Man,7149000
Swimming Pool,7137411
Blue Jasmine,7134774
Beatriz at Dinner,7115853
Silence,7100177
The Night House,7100121
All the King's Men,7097319
Bajrangi Bhaijaan,7090000
Seeking a Friend for the End of the World,7078738
How She Move,7070641
Screwed,7027345
Bug,7025810
Kissing Jessica Stein,7025722
Men,7014764
Black Nativity,7013679
An American Carol,7013191
Crossover,7009668
Our Brand Is Crisis,7002261
Turistas,6967793
Phat Girlz,6937112
Take Me Home Tonight,6928068
Trapped,6916869
Birth of the Dragon,6901965
Shut In,6900335
Big Trouble,6884049
Willard,6881732
Redline,6881021
The Brothers Grimsby,6874837
The Spectacular Now,6850918
Cedar Rapids,6849722
The Collection,6842058
BTS Permission to Dance on Stage - Seoul: Live Viewing,6840000
The Hoax,6820000
Thunderbirds,6810050
Dog Days,6809080
Boy Erased,6788692
In the Valley of Elah,6777741
Over Her Dead Body,6764000
Conviction2010 Re-release,6756095
Running with Scissors,6754898
Hotel Artemis,6708137
Tár,6689212
City Island,6671036
The Snowman,6670765
What's the Worst That Could Happen?,6656416
Femme Fatale,6614668
Me and Earl and the Dying Girl,6601163
The Grandmaster,6594959
Strange Wilderness,6575282
Millions,6572419
The Dead Don't Die,6563605
Jexi,6546159
3 Idiots,6532874
Winter's Bone,6531503
The Savages,6515688
A-X-L,6499982
The Big Bounce,6489476
Promising Young Woman,6488390
Little Boy,6485961
The Young Messiah,6469813
A Journal for Jordan,6442640
Angel Eyes,6431570
Run the Race,6424420
Same Kind of Different as Me,6423605
Waiting for 'Superman',6417135
The Rocker,6390303
Cantinflas,6382924
Hyde Park on Hudson,6376145
Fatale,6365729
It's Kind of a Funny Story,6363628
Post Grad,6362617
BTS: Yet to Come in Cinemas,6350496
Brideshead Revisited,6308453
Southside with You,6304223
The Jacket,6303762
All Is Lost,6263670
Unbroken: Path to Redemption,6216897
Justin Bieber's Believe,6207066
A Very Long Engagement,6200009
Fahrenheit 11/9,6197539
Lowriders,6179955
Beyond the Sea,6167729
Every Day,6148105
The Hurricane Heist,6115806
Chasing Papi,6113760
Teacher's Pet,6111700
The Interview,6105175
Grandma's Boy,6082490
Gigli,6048846
Leave No Trace,6046104
Moonlight Mile,6045882
Meet the Mormons,6045305
Hitchcock,6008677
Marcel the Shell with Shoes On,6003366
"Run, Fat Boy, Run",6003262
Chasing Mavericks,6002756
The Loft,6002684
The Sessions,6002451
The Current War: Director's Cut,5979540
Once Upon a Deadpool2018 Re-release,5978183
Just Getting Started,5973430
Possession,5965660
Captive State,5958315
Lars and the Real Girl,5956480
The Last Legion,5933494
Running Scared,5913000
Casa de mi Padre,5909483
The Florida Project,5904366
Death of a Nation,5885881
Against the Ropes,5884190
Captain Fantastic,5879835
The Wandering Earth,5875487
Dirty Pretty Things,5864154
Basic Instinct 2,5851188
Pulling Strings,5842961
The Bling Ring,5831740
She Said,5816940
The Perfect Holiday,5812781
The Hunt,5812500
Feel the Noise,5805170
Before Sunset,5802923
All Saints,5802208
Arctic Dogs,5801249
Beginners,5790894
Suburbicon,5775178
Lucky You,5758950
My Hero Academia: Two Heroes,5754556
Closed Circuit,5750401
Victor Frankenstein,5747301
God's Not Dead: A Light in Darkness,5728940
Kin,5718096
The Clearing,5715977
Mongol: The Rise of Genghis Khan,5705761
RocknRolla,5700626
Who's Your Caddy?,5696111
The Man Who Invented Christmas,5676486
For Greater Glory: The True Story of Cristiada,5672673
U2 3D,5672381
The Warrior's Way,5666340
20th Century Women,5664764
Crazy/Beautiful,5662182
Danny Collins,5632631
Gloria Bell,5611123
Never Die Alone,5602750
Sultan,5599781
The Rules of Attraction,5591889
I Heard the Bells,5589629
Cesar Chavez2014 Re-release,5571497
Tiger Zinda Hai,5560921
For Your Consideration,5549923
The Wizard of Oz2013 3D/IMAX Release,5509334
A Scanner Darkly,5501616
Rescue Dawn,5484401
Memento,5452000
The Rhythm Section,5437971
Before the Devil Knows You're Dead,5433000
Orphan: First Kill,5415419
The Courier,5407337
Aqua Teen Hunger Force Colon Movie Film for Theaters,5394000
Woman Thou Art Loosed,5381000
Shine a Light,5371629
The Goldfinch,5332621
The Truth About Charlie,5320285
Won't Back Down,5310554
Chennai Express,5307960
The Skeleton Twins,5284309
Roadrunner: A Film About Anthony Bourdain,5242480
Slackers,5228678
Don't Let Go,5215062
Bandslam,5210988
Hunt for the Wilderpeople,5205468
Margin Call,5200426
Alone in the Dark,5178569
American Splendor,5174260
Formula 51,5168542
Spencer,5161629
Colette,5137622
Grind,5123696
Simmba,5102129
Jaws2022 Re-release,5090660
Bleed for This,5083906
Action Point,5059608
The Mustang,5043620
Beirut,5019226
Your Name.,5012406
Curse of the Golden Flower,5000742
Copshop,4982160
Gringo,4969853
The Sun Is also a Star,4950029
Club Dread,4949946
Biutiful,4938927
The Apparition,4936819
From Justin to Kelly,4896280
Hamlet 2,4886216
Dilwale,4871263
Extreme Ops,4842259
Hocus Pocus2020 Re-release,4828000
Kiss of the Dragon,4808789
Incarnate,4799774
90 Minutes in Heaven,4791548
In the Name of the King: A Dungeon Siege Tale,4774473
The Libertine,4773768
Samson,4719928
Hands of Stone,4712792
True Story,4708938
Suffragette,4702420
College,4694491
Absolutely Fabulous: The Movie,4678295
The Science of Sleep,4670644
Underclassman,4637763
In the Cut,4633953
House of Flying Daggers,4631170
Let's Go to Prison,4630045
Atlas Shrugged: Part I,4627028
Women Talking,4624856
The Big Year,4617084
"Lust, Caution",4604982
Lifemark,4597596
Thirteen,4592413
Cold War2018 Re-release,4580048
Away from Her,4571521
Snowpiercer,4563650
The Human Stain,4538922
Miss March,4536908
Pavarotti,4536843
Tolkien,4535154
Baahubali: The Beginning,4518000
Kickin' It Old Skool,4502604
Deception,4495843
The Lookout,4489000
The Last Black Man in San Francisco,4485709
Anonymous,4463292
Bright Star,4444637
Facing the Giants,4440000
The Railway Man,4438438
Beyond Borders,4430101
The Adventures of Pluto Nash,4420079
Separation,4412038
Dear White People,4404154
Menteur,4403322
The Company Men,4398135
Proof,4394000
The SpongeBob Movie: Sponge on the Run,4386827
Brian Banks,4376819
Spartan,4373418
Seven Days in Utopia,4367448
Solitary Man,4360548
To Rome With Love,4359790
Pinocchio,4353205
Gotti,4343227
The Wind Rises,4342709
Blindspotting,4333394
Much Ado About Nothing,4328849
Love in the Time of Cholera,4327000
The Biggest Little Farm,4324698
Bride & Prejudice,4305979
Bajirao Mastani,4300678
Flash of Genius,4295905
The Book of Henry,4288104
Johnny English Strikes Again,4285545
Ponniyin Selvan,4282000
"Jeff, Who Lives at Home",4269426
Ae Dil Hai Mushkil,4264983
Van Wilder 2: The Rise of Taj,4261351
Howl's Moving Castle,4260851
Linda Ronstadt: The Sound of My Voice,4252657
Glitter,4252378
Kiss Kiss Bang Bang,4243756
Greenberg,4234170
Infinity Pool,4231779
Vengeance,4223100
A Hologram for the King,4212494
Stronger,4211129
The Water Diviner,4196841
Boogie,4190865
Swiss Army Man,4186567
Uri: The Surgical Strike,4186168
All the Pretty Horses,4170567
Ya veremos,4165949
Witless Protection,4161625
Good Hair,4155122
Deuces Wild,4132000
Life Itself,4095431
The Hero,4077333
Denial,4073448
Mindhunters,4064000
The Broken Hearts Gallery,4050598
Replicas,4046429
Infidel,4044193
Catch a Fire,4034000
The Cursed,4028024
Crocodile Dundee in Los Angeles,4026849
I'm Not There,4017609
My Name Is Khan,4015569
Ladrón que roba a ladrón,4011254
Safety Not Guaranteed,4010957
Goon,3997729
P2,3995018
Bottle Shock,3986011
Zola,3974747
Spider-Man/Men in Black IIDouble Bill,3971552
Found a Treasure Called Love,3961221
Charlie Bartlett,3950984
Sleight,3930990
Young@Heart,3916335
Shame,3909483
The Assassination of Jesse James by the Coward Robert Ford,3909149
Hollywood Ending,3907105
Kabali,3903095
Birth,3886000
Morgan,3881462
Cyrano,3863263
Max Steel,3818664
The September Issue,3816761
A United Kingdom,3803698
Melinda and Melinda,3803268
Better Luck Tomorrow,3802395
The Amazing Maurice,3802019
Volver,3789530
Batman: The Killing Joke,3775000
The Cold Light of Day,3763583
Portrait of a Lady on Fire,3759854
Anomalisa,3759286
Friend Request,3759078
A Monster Calls,3740823
Midnight Special,3712282
The Aristocrats,3706903
Ben Is Back,3703184
Scouts Guide to the Zombie Apocalypse,3703046
Talk to Me,3684000
High Tension,3681066
Don 2,3680306
Gosnell: The Trial of America's Biggest Serial Killer,3679893
Sunshine,3669688
Mission Mangal,3659413
Rules Don't Apply,3652206
Burn the Stage: The Movie,3643903
A la mala,3629842
Stay,3624303
Girl with a Pearl Earring,3622039
Spare Parts,3618912
Their Finest,3603484
Phoenix Forgotten,3600146
Table 19,3600071
We Are Your Friends,3591417
Wish I Was Here,3591299
Left Behind: Rise of the Antichrist,3588153
Calvary,3586375
Ghostbusters30th Anniversary Release,3580343
Marlowe,3577628
The Real Cancun,3576900
The Runaways,3573673
Goal! The Dream Begins,3535535
The Brothers Bloom,3531756
Blood and Chocolate,3526588
Happy-Go-Lucky,3512016
Indivisible,3511418
BTS World Tour: Love Yourself in Seoul,3509917
Feast of Love,3508572
